Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,
,Tabla 1.2,,,,,,,,,,,,,,,,,,,,
,Valor tasado medio de vivienda libre con mas de cinco años de antigüedad. ,,,,,,,,,,,,,,,,,,,,
,"Años: 2010, 2011, 2012, 2013 y 2014",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Unidad: euros / m2,,,,,,,,,,,,,,,,,,,,
,,Año 2010,,,,Año 2011,,,,Año 2012,,,,Año 2013,,,,Año 2014,,,
,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,
,,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º,2º,3º ,4º 
,TOTAL NACIONAL,1835.5,1822.6,1805.7,1799.3,1758.5,1733.2,1709.2,1681.3,1630.9,1592.5,1551.8,1517.5,1506.3000000000002,1492.6000000000001,1485,1457.4,1450.7,1448.7,1445.1,1454.4
,Andalucía,1577.2,1567.8,1538.7,1544.8,1511.9,1503.4,1474.1,1433.9,1374.1,1339.7,1317.1000000000001,1283.3,1281.6000000000001,1255.3,1233.8,1204.3,1204.3,1203.7,1203.6,1208.1
,Almería           ,1396.1,1402.2,1396,1416.3,1357.7,1377.3,1323.8,1288.4,1247.8,1181.8,1187.4,1156.8999999999999,1161.9,1164.3,1172.8,1114.3,1108,1110,1089.5,1099.7
,Cádiz             ,1733.2,1726,1700.3,1714.2,1680,1668.6,1637.7,1600.8,1594.1,1507.2,1477.3,1441,1406.4,1355,1311.4,1277.1,1297.1,1289.9,1302.8,1312.8
,Córdoba           ,1353.8,1355.2,1321.8999999999999,1295.7,1302.8,1332.5,1308.6,1341.5,1319.1,1333.1,1315.2,1255.3,1226.3,1191.9,1197.2,1155.2,1150.5,1131.1,1117.3,1118.1
,Granada           ,1303,1323.2,1319.7,1302,1279,1276.8,1291.1,1275.2,1214.7,1227.9,1177.2,1142.4,1173.1,1157.9,1129.7,1115.9,1097.8,1085.5,1064.9,1070.1
,Huelva            ,1554.9,1537.1,1520.8,1485.8,1447.8,1415.3,1405.4,1357,1349.3,1354,1293.5,1242.2,1279.6,1224,1165.3,1120.2,1116.2,1103.9,1106.8,1088.8
,Jaén              ,1024.8,1058.9,1030.5,1021.6,1024.9,1017.1,1012,1004,958.1999999999999,911.6,912.8,876.3,859.5,865.9,856.8,821.8,806.7,799,791.4,783.4
