Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,
,Tabla 1.2,,,,,,,,,,,,,,,,
,Valor tasado medio de vivienda libre de más de cinco años de antigüedad.,,,,,,,,,,,,,,,,
,"Años: 2020, 2021, 2022 y 2023 (*)",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,(*) Para acceder a la información de años anteriores consulte las pestañas que se encuentran en la parte inferior de este excel,,,,,,,,,,,,,,,,
,Unidad: euros / m2,,,,,,,,,,,,,,,,
,,Año 2020,,,,Año 2021,,,,Año 2022,,,,Año 2023,,,
,,(trimestre),,,,(trimestre),,,,(trimestre),,,,(trimestre),,,
,,1º,2º,3º ,4º ,1º,2º,3º ,4º ,1º ,2º,3º ,4º ,1º,2º,3º ,4º 
,TOTAL NACIONAL,1632.5,1601.1,1610.7,1614.4,1617.5,1641,1653.1,1685.5,1726.7,1732.1,1730.6000000000001,1738.9,1778.1,1782.6,1802.2,1833.1
,Andalucía,1307.7,1286.6000000000001,1284.9,1304.9,1296.7,1321.9,1345.1,1360.9,1394.3,1390.9,1407.7,1424.4,1459.6999999999998,1469.9,1495.3,1521.7
,Almería           ,1102.5,1100.4,1086.6,1110.6,1082.1,1113.8,1148.1000000000001,1152,1156.8,1145.5,1153.4,1140.2,1149.9,1169.3,1186.8,1198.1
,Cádiz             ,1359.4,1321.2,1353.3,1366.9,1360.3,1397.8,1403.9,1418.4,1437.4,1431.3,1462.5,1458.5,1500.7,1499.6,1550.2,1551.9
,Córdoba           ,1124.2,1111.6,1107.2,1121,1091.2,1098,1083.5,1081,1114.6,1107.7,1105,1107.8,1103.6,1098.9,1085.1,1109.6
,Granada           ,1103.9,1095.7,1103.5,1113.5,1122.8,1108.5,1124.9,1159,1195,1203.6,1189.6,1221.9,1217.7,1237,1246.7,1274.7
,Huelva            ,1079.4,1038.2,1063.8,1074.6,1082.4,1102.4,1116.8,1159.5,1170.7,1133.8,1159.9,1197.9,1196.3,1195.1,1196.5,1234.6
,Jaén              ,790.6,781.5,769.5,784.4,758.7,770.7,779.4,775.9,791.6,793.3,782.2,787.2,792.5,798,791.5,783.5
,Málaga            ,1805.9,1806.7,1783.8,1804.7,1796.5,1843.8,1916.4,1911.7,1972.6,2008.3,2057.5,2062.2,2140.9,2173.6,2221.6,2262.2
,Sevilla           ,1343.8,1293.9,1283.9,1319.5,1300.7,1327.9,1333.6,1370.6,1406.4,1365.5,1370,1417.5,1466.8,1460,1486.3,1526.7
,Aragón,1205.2,1168.2,1184.2,1193.2,1169,1184.3,1200.5,1227.3999999999999,1248.5,1263.2,1254.7,1278.8,1262,1275,1310.3,1322.8
