Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Tabla 1.2,,,,,,,,,,
,Valor tasado medio de vivienda libre de más de cinco años de antigüedad.,,,,,,,,,,
,Años: 2024 y 2025 (*),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Año 2024,,,,Año 2025,,,,Variación,
,,(trimestre),,,,(trimestre),,,,,
,,1º,2º,3º ,4º ,1º ,2º,3º ,4º ,Trimestral,Anual
,TOTAL NACIONAL,1855.8,1886,1911,1962.3,2024.1,2083.1,2142.2,2219,3.6,13.1
,Andalucía,1549.5,1581.6,1589.2,1637,1688.3000000000002,1730.7,1793.6000000000001,1844.2,2.8,12.7
,Almería           ,1208.3,1232.7,1233.1,1265.1,1297.6,1300.9,1354.5,1379.1,1.8,9
,Cádiz             ,1589.2,1611,1644.5,1679.9,1745,1754.5,1827,1884.1,3.1,12.2
,Córdoba           ,1114.6,1136.2,1118.1,1129.1,1148.9,1169.9,1206.8,1229.1,1.8,8.9
,Granada           ,1278.7,1315.3,1337.6,1383.2,1417,1475,1512.2,1564.3,3.4,13.1
,Huelva            ,1268.4,1263.3,1254.2,1297.6,1328.1,1348.9,1394.3,1451.6,4.1,11.9
,Jaén              ,791.8,808.4,797.2,809.3,820.9,835.3,861.9,857.8,-0.5,6
,Málaga            ,2314.8,2386.7,2424.9,2507.2,2598.4,2688.3,2814.9,2874.1,2.1,14.6
,Sevilla           ,1542,1558.4,1528.8,1582.1,1620.2,1662.6,1696.3,1768.8999999999999,4.3,11.8
,Aragón,1333.9,1381.6,1396.6000000000001,1440.7,1487.8,1530.1,1581.4,1638.8999999999999,3.6,13.8
,Huesca            ,1190.3,1234,1224.3999999999999,1265.3999999999999,1280.8999999999999,1288.8999999999999,1346.8999999999999,1395.7,3.6,10.3
,Teruel            ,827.3,851.4,849.5,879.1,906.7,909.8,911,950.8,4.4,8.2
,Zaragoza          ,1456.6,1508.2,1531.2,1578.3,1635.1,1690.9,1747,1809.2,3.6,14.6
,Asturias (Principado de ),1357.5,1394.8,1430.7,1468,1512.4,1571.5,1632.7,1662.3,1.8,13.2
,Balears (Illes),3020.3,3097.1,3195.9,3303.4,3418.9,3498.4,3652.9,3789.9,3.8,14.7
,Canarias,1786.5,1809.5,1834.5,1888.1000000000001,1962.8000000000002,1992.8,2063.5,2142.1,3.8,13.5
,Palmas (Las)      ,1827.6,1830.8,1854.3,1904.3,1971,1994.6,2061.7,2145.4,4.1,12.7
,Santa Cruz de Tenerife,1744,1786.5,1813.3,1870.6,1954.3,1991,2065.4,2138.7,3.5,14.3
,Cantabria,1609.6,1623,1676.4,1698.1,1769.6,1848.9,1930.9,1982,2.6,16.7
,Castilla y León,1074.8,1077.3,1091.8999999999999,1107,1136.2,1167.9,1198.8,1228.8,2.5,11
