CODCOMUNIDAD;COMUNIDAD;CODPROVINCIA;PROVINCIA;Tipo;Año;Trimestre;Numero_Transacciones;Valor_Transacciones
06;Cantabria;39;Cantabria;Segunda Mano;2004;1;1642;183685000
06;Cantabria;39;Cantabria;Segunda Mano;2005;1;2104;282850500
06;Cantabria;39;Cantabria;Segunda Mano;2009;1;499;82172800
06;Cantabria;39;Cantabria;Segunda Mano;2007;1;1694;292133900
06;Cantabria;39;Cantabria;Segunda Mano;2006;1;1895;297149200
06;Cantabria;39;Cantabria;Segunda Mano;2012;1;482;69979500
06;Cantabria;39;Cantabria;Segunda Mano;2024;1;2105;321070700
06;Cantabria;39;Cantabria;Segunda Mano;2014;1;659;87944000
06;Cantabria;39;Cantabria;Segunda Mano;2008;1;852;159169000
06;Cantabria;39;Cantabria;Segunda Mano;2010;1;703;115624200
06;Cantabria;39;Cantabria;Segunda Mano;2011;1;513;75653200
06;Cantabria;39;Cantabria;Segunda Mano;2017;1;1094;140022400
06;Cantabria;39;Cantabria;Segunda Mano;2019;1;1432;184367600
06;Cantabria;39;Cantabria;Segunda Mano;2015;1;777;95321500
06;Cantabria;39;Cantabria;Segunda Mano;2025;1;2287;408122900
06;Cantabria;39;Cantabria;Segunda Mano;2021;1;1593;217379100
06;Cantabria;39;Cantabria;Segunda Mano;2020;1;1355;168953300
06;Cantabria;39;Cantabria;Segunda Mano;2016;1;925;114458800
06;Cantabria;39;Cantabria;Segunda Mano;2023;1;1768;251907100
06;Cantabria;39;Cantabria;Segunda Mano;2013;1;384;48773700
06;Cantabria;39;Cantabria;Segunda Mano;2022;1;1959;281688100
06;Cantabria;39;Cantabria;Segunda Mano;2018;1;1167;137913200
06;Cantabria;39;Cantabria;Segunda Mano;2025;2;2515;460290700
06;Cantabria;39;Cantabria;Segunda Mano;2023;2;2077;295151500
06;Cantabria;39;Cantabria;Segunda Mano;2022;2;2529;355773700
06;Cantabria;39;Cantabria;Segunda Mano;2021;2;2241;303650700
06;Cantabria;39;Cantabria;Segunda Mano;2018;2;1719;213791000
06;Cantabria;39;Cantabria;Segunda Mano;2016;2;1186;153493200
06;Cantabria;39;Cantabria;Segunda Mano;2019;2;1690;204252400
06;Cantabria;39;Cantabria;Segunda Mano;2017;2;1459;179967400
06;Cantabria;39;Cantabria;Segunda Mano;2011;2;722;109157700
06;Cantabria;39;Cantabria;Segunda Mano;2014;2;709;92637600
06;Cantabria;39;Cantabria;Segunda Mano;2008;2;825;146791500
06;Cantabria;39;Cantabria;Segunda Mano;2012;2;533;80592000
06;Cantabria;39;Cantabria;Segunda Mano;2024;2;2585;413572200
06;Cantabria;39;Cantabria;Segunda Mano;2013;2;641;91097100
06;Cantabria;39;Cantabria;Segunda Mano;2006;2;2018;322678200
06;Cantabria;39;Cantabria;Segunda Mano;2020;2;915;119435400
06;Cantabria;39;Cantabria;Segunda Mano;2010;2;1058;175362300
06;Cantabria;39;Cantabria;Segunda Mano;2015;2;979;123089600
06;Cantabria;39;Cantabria;Segunda Mano;2007;2;1631;297532100
06;Cantabria;39;Cantabria;Segunda Mano;2005;2;2435;324996600
06;Cantabria;39;Cantabria;Segunda Mano;2004;2;2153;291696000
06;Cantabria;39;Cantabria;Segunda Mano;2009;2;624;102203300
06;Cantabria;39;Cantabria;Segunda Mano;2010;4;1288;211829200
06;Cantabria;39;Cantabria;Segunda Mano;2013;4;784;105678700
06;Cantabria;39;Cantabria;Segunda Mano;2020;4;2071;287633400
06;Cantabria;39;Cantabria;Segunda Mano;2025;4;2348;447369100
06;Cantabria;39;Cantabria;Segunda Mano;2011;4;691;107196000
06;Cantabria;39;Cantabria;Segunda Mano;2015;4;1124;151322400
06;Cantabria;39;Cantabria;Segunda Mano;2019;4;1818;226473900
06;Cantabria;39;Cantabria;Segunda Mano;2017;4;1926;254676500
06;Cantabria;39;Cantabria;Segunda Mano;2016;4;1336;168426700
06;Cantabria;39;Cantabria;Segunda Mano;2021;4;2408;350167000
06;Cantabria;39;Cantabria;Segunda Mano;2018;4;1779;223272700
06;Cantabria;39;Cantabria;Segunda Mano;2022;4;2092;315129900
06;Cantabria;39;Cantabria;Segunda Mano;2023;4;2026;294016400
06;Cantabria;39;Cantabria;Segunda Mano;2008;4;583;96722400
06;Cantabria;39;Cantabria;Segunda Mano;2014;4;1060;140003000
06;Cantabria;39;Cantabria;Segunda Mano;2024;4;2512;415566300
06;Cantabria;39;Cantabria;Segunda Mano;2012;4;924;119670400
06;Cantabria;39;Cantabria;Segunda Mano;2006;4;1851;323856400
06;Cantabria;39;Cantabria;Segunda Mano;2007;4;1087;198711700
06;Cantabria;39;Cantabria;Segunda Mano;2009;4;937;159185000
06;Cantabria;39;Cantabria;Segunda Mano;2005;4;2637;391980400
06;Cantabria;39;Cantabria;Segunda Mano;2004;4;2271;391536900
06;Cantabria;39;Cantabria;Segunda Mano;2004;3;1947;273163100
06;Cantabria;39;Cantabria;Segunda Mano;2005;3;1961;278600800
06;Cantabria;39;Cantabria;Segunda Mano;2009;3;711;124345200
06;Cantabria;39;Cantabria;Segunda Mano;2014;3;769;96704400
06;Cantabria;39;Cantabria;Segunda Mano;2006;3;1678;278257100
06;Cantabria;39;Cantabria;Segunda Mano;2007;3;1202;220935500
06;Cantabria;39;Cantabria;Segunda Mano;2024;3;2259;373101700
06;Cantabria;39;Cantabria;Segunda Mano;2019;3;1495;191158100
06;Cantabria;39;Cantabria;Segunda Mano;2008;3;560;94276500
06;Cantabria;39;Cantabria;Segunda Mano;2010;3;703;111714900
06;Cantabria;39;Cantabria;Segunda Mano;2011;3;609;91553000
06;Cantabria;39;Cantabria;Segunda Mano;2012;3;569;80880800
06;Cantabria;39;Cantabria;Segunda Mano;2013;3;549;71287400
06;Cantabria;39;Cantabria;Segunda Mano;2018;3;1561;210537400
06;Cantabria;39;Cantabria;Segunda Mano;2015;3;1049;129873700
06;Cantabria;39;Cantabria;Segunda Mano;2016;3;1076;132973700
06;Cantabria;39;Cantabria;Segunda Mano;2017;3;1395;181941300
06;Cantabria;39;Cantabria;Segunda Mano;2020;3;1772;226102500
06;Cantabria;39;Cantabria;Segunda Mano;2021;3;2376;327403800
06;Cantabria;39;Cantabria;Segunda Mano;2022;3;1994;298276400
06;Cantabria;39;Cantabria;Segunda Mano;2023;3;1819;258756400
06;Cantabria;39;Cantabria;Segunda Mano;2025;3;2173;420897200
17;Rioja, La;26;Rioja, La;Segunda Mano;2004;3;1168;89131700
17;Rioja, La;26;Rioja, La;Segunda Mano;2005;3;992;135200000
17;Rioja, La;26;Rioja, La;Segunda Mano;2009;3;326;44185700
17;Rioja, La;26;Rioja, La;Segunda Mano;2014;3;467;47644300
17;Rioja, La;26;Rioja, La;Segunda Mano;2006;3;923;134053000
17;Rioja, La;26;Rioja, La;Segunda Mano;2007;3;572;80136900
17;Rioja, La;26;Rioja, La;Segunda Mano;2024;3;1150;123950600
17;Rioja, La;26;Rioja, La;Segunda Mano;2019;3;821;78979200
17;Rioja, La;26;Rioja, La;Segunda Mano;2008;3;303;39495800
17;Rioja, La;26;Rioja, La;Segunda Mano;2010;3;357;50136600
17;Rioja, La;26;Rioja, La;Segunda Mano;2011;3;280;34283300
17;Rioja, La;26;Rioja, La;Segunda Mano;2012;3;347;41000300
17;Rioja, La;26;Rioja, La;Segunda Mano;2013;3;436;42063000
17;Rioja, La;26;Rioja, La;Segunda Mano;2018;3;953;105566500
17;Rioja, La;26;Rioja, La;Segunda Mano;2015;3;641;57004700
17;Rioja, La;26;Rioja, La;Segunda Mano;2016;3;635;65297300
17;Rioja, La;26;Rioja, La;Segunda Mano;2017;3;821;73307500
17;Rioja, La;26;Rioja, La;Segunda Mano;2020;3;958;86331700
17;Rioja, La;26;Rioja, La;Segunda Mano;2021;3;1154;122592900
17;Rioja, La;26;Rioja, La;Segunda Mano;2022;3;1060;108919200
17;Rioja, La;26;Rioja, La;Segunda Mano;2023;3;945;95993900
17;Rioja, La;26;Rioja, La;Segunda Mano;2025;3;1275;172477400
17;Rioja, La;26;Rioja, La;Segunda Mano;2010;4;661;91718300
17;Rioja, La;26;Rioja, La;Segunda Mano;2013;4;483;54057000
17;Rioja, La;26;Rioja, La;Segunda Mano;2020;4;1219;133979500
17;Rioja, La;26;Rioja, La;Segunda Mano;2025;4;1484;182631600
17;Rioja, La;26;Rioja, La;Segunda Mano;2011;4;424;63021100
17;Rioja, La;26;Rioja, La;Segunda Mano;2015;4;765;67748200
17;Rioja, La;26;Rioja, La;Segunda Mano;2019;4;1119;134028100
17;Rioja, La;26;Rioja, La;Segunda Mano;2017;4;945;92199400
17;Rioja, La;26;Rioja, La;Segunda Mano;2016;4;775;70911000
17;Rioja, La;26;Rioja, La;Segunda Mano;2021;4;1364;140603300
17;Rioja, La;26;Rioja, La;Segunda Mano;2018;4;1185;111218300
17;Rioja, La;26;Rioja, La;Segunda Mano;2022;4;1174;117067000
17;Rioja, La;26;Rioja, La;Segunda Mano;2023;4;1079;105269600
17;Rioja, La;26;Rioja, La;Segunda Mano;2008;4;337;45861800
17;Rioja, La;26;Rioja, La;Segunda Mano;2014;4;832;79127000
17;Rioja, La;26;Rioja, La;Segunda Mano;2024;4;1427;154228500
17;Rioja, La;26;Rioja, La;Segunda Mano;2012;4;648;71208300
17;Rioja, La;26;Rioja, La;Segunda Mano;2006;4;911;134044800
17;Rioja, La;26;Rioja, La;Segunda Mano;2007;4;552;83273000
17;Rioja, La;26;Rioja, La;Segunda Mano;2009;4;399;58874800
17;Rioja, La;26;Rioja, La;Segunda Mano;2005;4;1285;181259700
17;Rioja, La;26;Rioja, La;Segunda Mano;2004;4;1356;110720300
17;Rioja, La;26;Rioja, La;Segunda Mano;2025;2;1337;166756600
17;Rioja, La;26;Rioja, La;Segunda Mano;2023;2;1041;99302200
17;Rioja, La;26;Rioja, La;Segunda Mano;2022;2;1287;139522400
17;Rioja, La;26;Rioja, La;Segunda Mano;2021;2;1215;128458300
17;Rioja, La;26;Rioja, La;Segunda Mano;2018;2;1067;102203000
17;Rioja, La;26;Rioja, La;Segunda Mano;2016;2;780;69018100
17;Rioja, La;26;Rioja, La;Segunda Mano;2019;2;1022;98371600
17;Rioja, La;26;Rioja, La;Segunda Mano;2017;2;886;81870600
17;Rioja, La;26;Rioja, La;Segunda Mano;2011;2;406;46811100
17;Rioja, La;26;Rioja, La;Segunda Mano;2014;2;492;44437600
17;Rioja, La;26;Rioja, La;Segunda Mano;2008;2;419;57477300
17;Rioja, La;26;Rioja, La;Segunda Mano;2012;2;411;49738900
17;Rioja, La;26;Rioja, La;Segunda Mano;2024;2;1254;132861200
17;Rioja, La;26;Rioja, La;Segunda Mano;2013;2;428;44181000
17;Rioja, La;26;Rioja, La;Segunda Mano;2006;2;1175;168170900
17;Rioja, La;26;Rioja, La;Segunda Mano;2020;2;587;73208400
17;Rioja, La;26;Rioja, La;Segunda Mano;2010;2;563;82436400
17;Rioja, La;26;Rioja, La;Segunda Mano;2015;2;780;88204800
17;Rioja, La;26;Rioja, La;Segunda Mano;2007;2;865;130500200
17;Rioja, La;26;Rioja, La;Segunda Mano;2005;2;1115;143504600
17;Rioja, La;26;Rioja, La;Segunda Mano;2004;2;1301;105346100
17;Rioja, La;26;Rioja, La;Segunda Mano;2009;2;328;45134600
17;Rioja, La;26;Rioja, La;Segunda Mano;2004;1;1027;100298100
