Region,City,Year,Quarter,Total
Andalucía,Total,2010,1,1577.2
Andalucía,Almería,2010,1,1396.1
Andalucía,Cádiz,2010,1,1733.2
Andalucía,Córdoba,2010,1,1353.8
Andalucía,Granada,2010,1,1303.0
Andalucía,Huelva,2010,1,1554.9
Andalucía,Jaén,2010,1,1024.8
Andalucía,Málaga,2010,1,1951.9
Andalucía,Sevilla,2010,1,1636.4
Aragón,Total,2010,1,1623.1
Aragón,Huesca,2010,1,1344.1
Aragón,Teruel,2010,1,942.2
Aragón,Zaragoza,2010,1,1784.8
Principado de Asturias,Asturias,2010,1,1607.7
Illes Balears,Illes Balears,2010,1,2096.9
Canarias,Total,2010,1,1574.6
Canarias,Las Palmas,2010,1,1599.0
Canarias,Santa Cruz de Tenerife,2010,1,1536.9
Cantabria,Cantabria,2010,1,1873.3
Castilla y León,Total,2010,1,1365.4
Castilla y León,Ávila,2010,1,1250.8
Castilla y León,Burgos,2010,1,1669.2
Castilla y León,León,2010,1,1142.3
Castilla y León,Palencia,2010,1,1159.7
Castilla y León,Salamanca,2010,1,1420.3
Castilla y León,Segovia,2010,1,1383.6
Castilla y León,Soria,2010,1,1314.6
Castilla y León,Valladolid,2010,1,1486.4
Castilla y León,Zamora,2010,1,1094.1
Castilla - La Mancha,Total,2010,1,1198.6
Castilla - La Mancha,Albacete,2010,1,1194.5
Castilla - La Mancha,Ciudad Real,2010,1,947.9
Castilla - La Mancha,Cuenca,2010,1,960.1
Castilla - La Mancha,Guadalajara,2010,1,1569.6
Castilla - La Mancha,Toledo,2010,1,1177.3
Cataluña,Total,2010,1,2214.0
Cataluña,Barcelona,2010,1,2489.6
Cataluña,Girona,2010,1,1993.1
Cataluña,Lleida,2010,1,1284.0
Cataluña,Tarragona,2010,1,1737.9
Comunitat Valenciana,Total,2010,1,1441.7
Comunitat Valenciana,Alicante/Alacant,2010,1,1432.2
Comunitat Valenciana,Castellón/Castelló,2010,1,1480.3
Comunitat Valenciana,Valencia/València,2010,1,1417.0
Extremadura,Total,2010,1,981.8
Extremadura,Badajoz,2010,1,998.5
Extremadura,Cáceres,2010,1,938.5
Galicia,Total,2010,1,1416.6
Galicia,A Coruña,2010,1,1396.9
Galicia,Lugo,2010,1,989.7
Galicia,Ourense,2010,1,1108.5
Galicia,Pontevedra,2010,1,1531.6
Comunidad de Madrid,Madrid,2010,1,2572.6
Región de Murcia,Murcia,2010,1,1333.1
Comunidad Foral de Navarra,Navarra,2010,1,1598.2
País Vasco,Total,2010,1,2678.7
País Vasco,Araba/Álava,2010,1,2298.4
País Vasco,Gipuzkoa,2010,1,2858.6
País Vasco,Bizkaia,2010,1,2682.1
La Rioja,La Rioja,2010,1,1436.3
Ceuta,Ceuta,2010,1,1753.3
Melilla,Melilla,2010,1,1590.5
Andalucía,Total,2010,2,1567.8
Andalucía,Almería,2010,2,1402.2
Andalucía,Cádiz,2010,2,1726.0
Andalucía,Córdoba,2010,2,1355.2
Andalucía,Granada,2010,2,1323.2
Andalucía,Huelva,2010,2,1537.1
Andalucía,Jaén,2010,2,1058.9
Andalucía,Málaga,2010,2,1899.0
Andalucía,Sevilla,2010,2,1627.3
Aragón,Total,2010,2,1620.6
Aragón,Huesca,2010,2,1352.4
Aragón,Teruel,2010,2,985.2
Aragón,Zaragoza,2010,2,1779.3
Principado de Asturias,Asturias,2010,2,1612.1
Illes Balears,Illes Balears,2010,2,2075.7
Canarias,Total,2010,2,1547.6
Canarias,Las Palmas,2010,2,1583.6
Canarias,Santa Cruz de Tenerife,2010,2,1515.0
Cantabria,Cantabria,2010,2,1827.8
Castilla y León,Total,2010,2,1362.0
Castilla y León,Ávila,2010,2,1249.9
Castilla y León,Burgos,2010,2,1637.0
Castilla y León,León,2010,2,1118.3
Castilla y León,Palencia,2010,2,1155.8
Castilla y León,Salamanca,2010,2,1438.1
Castilla y León,Segovia,2010,2,1364.2
Castilla y León,Soria,2010,2,1354.0
Castilla y León,Valladolid,2010,2,1486.9
Castilla y León,Zamora,2010,2,1073.7
Castilla - La Mancha,Total,2010,2,1224.4
Castilla - La Mancha,Albacete,2010,2,1226.7
Castilla - La Mancha,Ciudad Real,2010,2,966.0
Castilla - La Mancha,Cuenca,2010,2,971.3
Castilla - La Mancha,Guadalajara,2010,2,1611.6
Castilla - La Mancha,Toledo,2010,2,1158.6
Cataluña,Total,2010,2,2221.1
Cataluña,Barcelona,2010,2,2508.6
Cataluña,Girona,2010,2,1976.4
Cataluña,Lleida,2010,2,1264.0
Cataluña,Tarragona,2010,2,1740.8
Comunitat Valenciana,Total,2010,2,1427.6
Comunitat Valenciana,Alicante/Alacant,2010,2,1435.1
Comunitat Valenciana,Castellón/Castelló,2010,2,1442.8
Comunitat Valenciana,Valencia/València,2010,2,1395.9
Extremadura,Total,2010,2,996.7
Extremadura,Badajoz,2010,2,1013.4
Extremadura,Cáceres,2010,2,957.0
Galicia,Total,2010,2,1406.4
Galicia,A Coruña,2010,2,1412.9
Galicia,Lugo,2010,2,1023.0
Galicia,Ourense,2010,2,1135.3
Galicia,Pontevedra,2010,2,1530.3
Comunidad de Madrid,Madrid,2010,2,2535.7
Región de Murcia,Murcia,2010,2,1319.6
Comunidad Foral de Navarra,Navarra,2010,2,1523.4
País Vasco,Total,2010,2,2659.2
País Vasco,Araba/Álava,2010,2,2304.6
País Vasco,Gipuzkoa,2010,2,2790.7
País Vasco,Bizkaia,2010,2,2658.2
La Rioja,La Rioja,2010,2,1448.0
Ceuta,Ceuta,2010,2,1786.6
Melilla,Melilla,2010,2,1645.7
Andalucía,Total,2010,3,1538.7
Andalucía,Almería,2010,3,1396.0
Andalucía,Cádiz,2010,3,1700.3
Andalucía,Córdoba,2010,3,1321.9
Andalucía,Granada,2010,3,1319.7
Andalucía,Huelva,2010,3,1520.8
Andalucía,Jaén,2010,3,1030.5
Andalucía,Málaga,2010,3,1853.6
Andalucía,Sevilla,2010,3,1596.8
Aragón,Total,2010,3,1622.0
Aragón,Huesca,2010,3,1410.4
Aragón,Teruel,2010,3,962.2
Aragón,Zaragoza,2010,3,1758.2
Principado de Asturias,Asturias,2010,3,1591.2
Illes Balears,Illes Balears,2010,3,2038.0
Canarias,Total,2010,3,1542.5
Canarias,Las Palmas,2010,3,1604.6
Canarias,Santa Cruz de Tenerife,2010,3,1471.7
Cantabria,Cantabria,2010,3,1806.1
Castilla y León,Total,2010,3,1341.5
Castilla y León,Ávila,2010,3,1209.4
Castilla y León,Burgos,2010,3,1581.3
Castilla y León,León,2010,3,1082.2
Castilla y León,Palencia,2010,3,1153.8
Castilla y León,Salamanca,2010,3,1382.4
Castilla y León,Segovia,2010,3,1400.1
Castilla y León,Soria,2010,3,1306.1
Castilla y León,Valladolid,2010,3,1497.1
Castilla y León,Zamora,2010,3,1058.5
Castilla - La Mancha,Total,2010,3,1213.9
Castilla - La Mancha,Albacete,2010,3,1182.4
Castilla - La Mancha,Ciudad Real,2010,3,960.9
Castilla - La Mancha,Cuenca,2010,3,972.3
Castilla - La Mancha,Guadalajara,2010,3,1552.4
Castilla - La Mancha,Toledo,2010,3,1187.3
Cataluña,Total,2010,3,2192.6
Cataluña,Barcelona,2010,3,2459.4
Cataluña,Girona,2010,3,1952.6
Cataluña,Lleida,2010,3,1268.3
Cataluña,Tarragona,2010,3,1724.0
